name,datetime,tempmax,tempmin,humidity,windspeed,visibility,description
BRONX,23-07-2016,35.1,27.8,41.4,33.3,15.2,Partly cloudy throughout the day.
BRONX,24-07-2016,33.6,24.5,47.6,17.4,15.4,Partly cloudy throughout the day.
BRONX,25-07-2016,33.5,24.5,68,15.5,13.6,Partly cloudy throughout the day with rain.
BRONX,26-07-2016,32.1,22.9,61.6,23.8,15.1,Becoming cloudy in the afternoon.
BRONX,27-07-2016,32.9,24.2,50.3,14.2,15.5,Partly cloudy throughout the day.
BRONX,28-07-2016,33.8,25.6,60.7,20.5,14.4,Partly cloudy throughout the day.
BRONX,29-07-2016,29.1,21.5,76.2,20.7,12,Partly cloudy throughout the day with rain clearin
BRONX,30-07-2016,27.8,23.8,79.7,15.3,12.1,Partly cloudy throughout the day with rain.
BRONX,31-07-2016,26.2,22.8,84.7,19.2,12.6,Cloudy skies throughout the day with rain.
BRONX,2016-01-08,26.1,21.5,77.9,20.1,14.7,Cloudy skies throughout the day with early morning
BRONX,2016-02-08,25.1,21.8,67.4,24,15.5,Partly cloudy throughout the day.
BRONX,2016-03-08,26.5,19.3,63.1,19.2,15.5,Clear conditions throughout the day.
BRONX,2016-04-08,27.5,19.9,62.8,16.2,15.4,Becoming cloudy in the afternoon.
BRONX,2016-05-08,28.6,21.2,60.1,20.7,15.4,Partly cloudy throughout the day.
BRONX,2016-06-08,30.9,23.2,67.5,25.9,15,Partly cloudy throughout the day with afternoon ra
BRONX,2016-07-08,30.4,22.3,47.8,24.2,15.7,Partly cloudy throughout the day.
BRONX,2016-08-08,29.5,22.8,51.7,12.2,15.6,Partly cloudy throughout the day.
BRONX,2016-09-08,31,22.4,56.8,22.4,15.5,Partly cloudy throughout the day.
BRONX,2016-10-08,30.3,24.6,75.7,19.3,15,Partly cloudy throughout the day with a chance of 
BRONX,2016-11-08,33.5,27.2,66.8,17,14.7,Partly cloudy throughout the day with late afterno
BRONX,2016-12-08,34.9,23.6,70.8,20.7,14.4,Partly cloudy throughout the day with rain.
BRONX,13-08-2016,35.6,27.9,65.1,19.6,14.9,Partly cloudy throughout the day with morning rain
BRONX,14-08-2016,34.9,27.1,60.5,22.3,15.3,Partly cloudy throughout the day with late afterno
BRONX,15-08-2016,33.2,25.5,62.7,15.3,15.4,Partly cloudy throughout the day.
BRONX,16-08-2016,31.2,25.6,70.3,26.2,14.7,Partly cloudy throughout the day with rain.
BRONX,17-08-2016,29.6,25.5,61.9,21.8,15.6,Partly cloudy throughout the day with early mornin
BRONX,18-08-2016,30,23.4,63.3,9.8,15.3,Partly cloudy throughout the day with rain clearin
BRONX,19-08-2016,30.5,24.3,64.4,13.9,15.2,Partly cloudy throughout the day with late afterno
BRONX,20-08-2016,28,23.4,74.6,18.1,14.7,Becoming cloudy in the afternoon with afternoon ra
BRONX,21-08-2016,30.7,24.4,76,22.8,14.5,Partly cloudy throughout the day with rain.
BRONX,22-08-2016,25.6,20.9,57.1,30,15.8,Clear conditions throughout the day with early mor
BRONX,23-08-2016,27.7,18.1,47.2,13.6,15.9,Clear conditions throughout the day.
BRONX,24-08-2016,31.3,20.7,54.5,27,15.7,Clear conditions throughout the day.
BRONX,25-08-2016,29.6,21.7,63.9,29.2,16,Partly cloudy throughout the day with late afterno
BRONX,26-08-2016,32.5,24.5,61.9,27,16,Partly cloudy throughout the day.
BRONX,27-08-2016,31.1,23.4,49.5,16.3,15.8,Partly cloudy throughout the day.
BRONX,28-08-2016,31.1,22.6,60.1,17.2,15.6,Clear conditions throughout the day.
BRONX,29-08-2016,32.4,24.1,52.8,17.7,15.7,Partly cloudy throughout the day.
BRONX,30-08-2016,29.6,21.7,57,18,15.8,Partly cloudy throughout the day.
BRONX,31-08-2016,31.1,24.1,65.6,17.5,14.9,Partly cloudy throughout the day.
BRONX,2016-01-09,26.2,22.3,78.6,16.9,13.2,Cloudy skies throughout the day with a chance of r
BRONX,2016-02-09,27,19.2,53,20,16,Partly cloudy throughout the day.
BRONX,2016-03-09,24,20.2,63.9,22,15.9,Partly cloudy throughout the day.
BRONX,2016-04-09,26.6,18.3,56,26.9,16,Partly cloudy throughout the day.
BRONX,2016-05-09,28.5,18.9,48.2,28.7,16,Partly cloudy throughout the day.
BRONX,2016-06-09,26.8,22.4,57.9,27.1,15.6,Partly cloudy throughout the day.
